X,Y,CLASE
0.352218753,1.563026701,1
0.393485022,0.839057596,1
0.327486531,0.667872317,1
-0.606282673,-1.456820702,2
-1.04131099,-1.869924214,2
0.580125068,1.83095062,1
-1.19358693,-1.371931169,2
0.601105618,1.880924252,1
-1.19358693,-1.371931169,2
-0.304775718,-0.357018973,2
0.422480153,1.600237202,1
0.024269653,0.774917635,1
-0.304775718,-0.357018973,2
0.393485022,0.839057596,1
0.393783763,1.772985582,1
-0.997694639,-1.513740919,2
0.148722864,1.029898392,1
-1.75120742,-1.762758945,2
0.025257858,0.480081683,1
0.188695959,1.605664663,1
0.15254952,0.611494819,1
0.154389543,0.682357367,1
-0.429479518,-1.073040165,2
0.172237642,1.968532127,1
-1.015225733,-1.686618779,2
0.703098421,1.552245523,1
-0.941127658,-1.969423303,2
0.411630299,1.043817566,1
0.089424231,0.658028511,1
-0.429479518,-1.073040165,2
0.057951421,1.563560727,1
0.066283554,1.393436958,1
-0.04055562,-1.451440435,2
0.334872462,1.205105985,1
0.140148385,0.819939581,1
0.327486531,0.667872317,1
-0.17009897,-1.696674267,2
0.393485022,0.839057596,1
0.089889465,1.227085635,1
-0.140686059,-0.83247741,2
-1.19358693,-1.371931169,2
0.580125068,1.83095062,1
0.248661556,0.527793268,1
0.057951421,1.563560727,1
-1.04131099,-1.869924214,2
0.166689389,1.479146109,1
0.058431838,0.281731369,1
0.166689389,1.479146109,1
0.148409289,1.950282667,1
-0.609576106,-1.801627887,2
0.25994169,1.309987096,1
-0.412772845,-0.996801841,2
0.56869816,1.607282301,1
0.24223481,1.410725017,1
-0.468968443,-0.893766649,2
0.188695959,1.605664663,1
0.66788675,1.738426311,1
0.188516803,1.846175471,1
-0.504853788,-1.323740209,2
0.172237642,1.968532127,1
0.66788675,1.738426311,1
0.248661556,0.527793268,1
0.508803962,1.386362652,1
0.188695959,1.605664663,1
0.049791847,1.428385954,1
-0.468968443,-0.893766649,2
0.16693368,1.878327056,1
0.208268083,1.82349898,1
0.426152235,1.663752276,1
0.393485022,0.839057596,1
0.25994169,1.309987096,1
0.426152235,1.663752276,1
-0.521118303,-1.057548871,2
-0.527191239,-0.699849297,2
0.154389543,0.682357367,1
0.384797196,1.5159114,1
0.327966999,1.386555192,1
0.389074818,1.526442375,1
0.148409289,1.950282667,1
-1.560576292,-1.57445694,2
0.327486531,0.667872317,1
0.154389543,0.682357367,1
0.15254952,0.611494819,1
0.340561393,1.076095745,1
0.089424231,0.658028511,1
0.215254179,0.433944668,1
0.601105618,1.880924252,1
0.188695959,1.605664663,1
-0.388344236,-1.083437544,2
-0.412772845,-0.996801841,2
0.340561393,1.076095745,1
-0.33455956,-0.864134671,2
0.352218753,1.563026701,1
-0.745573795,-1.43492947,2
-0.609576106,-1.801627887,2
-0.412772845,-0.996801841,2
-1.04131099,-1.869924214,2
0.393485022,0.839057596,1
-0.141468309,-0.514954899,2
0.56422498,1.676178014,1
0.166883749,1.387952422,1
-0.310089675,-0.54538874,2
0.56422498,1.676178014,1
0.024269653,0.774917635,1
0.411630299,1.043817566,1
0.703098421,1.552245523,1
0.24223481,1.410725017,1
0.148722864,1.029898392,1
0.056995691,0.177337878,1
-0.04055562,-1.451440435,2
